Heure,kd_1D,kd_3D,Δkd,f1_3D,f2_3D,Err_1D,Err_3D,Gain_%
07:00,0.5253,0.647,0.1217,0.4351,0.0165,30.61,20.96,31.5
08:00,0.4647,0.4792,0.0145,0.4869,0.1581,56.44,54.5,3.4
09:00,0.4546,0.4663,0.0117,0.4892,0.0777,57.32,36.75,35.9
10:00,0.5152,0.2648,-0.2504,0.1221,0.0095,181.64,129.35,28.8
11:00,0.0001,0.049,0.0489,0.0,-1.5089,569.06,535.26,5.9
12:00,1.0,1.5,0.5,0.0,-0.2402,794.9,374.13,52.9
13:00,0.1112,0.2158,0.1046,0.0,-0.366,288.36,130.44,54.8
14:00,0.6667,0.6778,0.0111,0.3713,-0.2038,188.32,58.23,69.1
15:00,0.5051,0.5192,0.0141,0.4863,-0.0708,104.78,16.57,84.2
16:00,0.8081,0.4271,-0.381,0.0,-0.432,152.68,9.07,94.1
